<Pet_Supplie> cat:3756.523085322444 cats:3701.9655932138176 litter:1671.564273906119 pet:1662.305698581781 puppy:1568.5962806907414 vet:1504.5355591599498 leash:1375.3855462827116 collar:1360.2427650633506 treats:1207.3590031993704 chew:1018.3082697957578 lab:913.2161602632285 fleas:878.6083281380081 food:704.6829611364294 chewed:657.3078623867473 terrier:612.0153851600007 barking:575.2053634430665 chewer:499.39742334799087 crate:495.8131776089816 tank:488.37872551769 retriever:474.83146097144925 kitten:467.32288901142545 paw:467.0877852502287 aquarium:445.66781798215976 poodle:439.499722146539 bulldog:439.499722146539 chihuahua:439.499722146539 spaniel:437.32466365337484 petsmart:437.32466365337484 collars:426.0341618882355 pup:407.9724596755767 toys:403.56857256671503 lb:401.3408421085115 doggy:383.141106481878 catnip:380.9157590476157 petco:375.15184202371915 kibble:375.15184202371915 fountain:340.9156692901482 chewing:340.9156692901482 puppies:340.00156842030947 kitty:328.69908324192625 kennel:327.635731155698 cage:325.50656532763657 flea:324.094304202354 bowl:322.7152918147869 leashes:319.85064850003414 urine:316.2860365631871 chews:316.2860365631871 corgi:312.87871637465906 litterbox:312.87871637465906 harness:304.1931163047111 coat:302.36560779686056 pom:301.2169408165325 husky:288.81420286401294 shepherd:284.17034966171457 gallon:280.07200795772945 clumping:278.3787145254918 poop:277.3128966360452 feeder:274.7923492315202 yorkie:273.24330457178496 kitties:273.24330457178496 kong:260.16507693494015 pomeranian:259.07144174251755 frisbee:259.07144174251755 kittens:256.55445964103535 pound:253.55501298753148 orijen:250.50504384028227 rottweiler:250.50504384028227 petsafe:250.50504384028227 furminator:250.50504384028227 bichon:250.50504384028227 shiba:250.50504384028227 scooping:241.78653025424697 loves:236.81924037816296 treat:231.93272818131834 doggie:229.0821701682826
<Sports_and_Outdoor> gun:625.2714203764763 pistol:606.7676373306579 rifle:543.0575192804985 bikes:523.3828475927485 holster:495.91230446517363 camping:437.69628206913217 airsoft:376.2680390625512 tires:344.21041763347466 ar:339.9660399326248 tent:324.69002034552676 glock:322.8005377669405 bicycle:304.66260101133446 sheath:293.15626368118006 workout:288.1073836724015 mag:272.39984928313277 grip:258.2176739462601 fit:257.96192020640376 bag:253.36255278393236 weight:251.95449662915362 golf:249.20595599609499 mags:246.3881286499047 rides:244.58458409510175 blade:235.4389417643696 scope:234.21312090190762 knives:222.40036361276623 barrel:215.49928257154318 scooter:214.7875736085619 helmet:209.34874586615493 shimano:207.45474087435807 ammo:207.05456620877058 comfortable:206.7287773894007 handlebars:205.5946915730044 poles:193.71885564120285 pants:193.2411339059859 edc:188.08858041198548 reading:187.5301405196636 characters:186.56687565719537 backpacking:185.2611124282312 schwinn:184.46058763563877 adjustment:182.60207726083564 gloves:181.0152808517875 balls:180.32642652233912 ball:178.315841153883 riding:175.23877193490023 pump:172.36440663240558 sturdy:170.9213060407749 fits:168.16797112179285 mat:166.47535880768262 carry:164.92632210440112 ride:162.44344805872117 camelbak:161.45237112745866 goggles:160.84023260497946 rail:160.62533789419757 durable:160.09538968441538 gear:159.66368182325363 sweat:156.76964613977162 weights:155.2939272481435 bearings:153.88801178657815 rack:152.44472942696297 saddle:146.30394274417435 ruger:144.3891604459987 molle:144.3891604459987 series:143.00511515246535 rear:142.2546439002861 grips:141.4885141025523 zeroed:139.52786000458363 sks:138.4300784683976 firearm:136.62889273975347 written:135.7373882389846 love:132.51213122958478 straps:132.46912111676056 size:130.90350562464693 lbs:129.8919261503458 dumbbells:129.82950832246385 pedometer:129.6597811997579
<Digital_Music> music:1040.4812416857947 lyrics:811.4457866456275 listen:666.7412538280802 albums:533.2294303780984 heard:507.84945372816253 playlist:452.47614698537666 voice:449.1697280798492 vocals:427.319383604136 catchy:420.987765746576 band:337.0781487978182 upbeat:335.43994072243373 sing:329.698074694573 tracks:321.03928475660695 mp:303.6181034149856 listening:294.22726668806564 rock:285.3794057761109 singing:281.66450154570333 sings:280.97224727985724 singer:273.32370664778136 sounds:220.98695830460932 rap:219.43061383492105 ballad:213.03459652527675 artist:210.96472031195742 radio:198.2810387299588 track:197.30183316674717 sung:197.1030753246003 jazz:192.7561173890182 hear:187.36077844189634 nastradamus:186.14076083292034 crusin:186.14076083292034 hackett:186.14076083292034 spangled:186.14076083292034 underoath:186.14076083292034 bloops:186.14076083292034 listened:179.19028863783632 download:168.64063783933048 ep:164.21104549336548 sound:162.3376192158328 tune:162.2025912029539 cher:160.65990169152587 drums:152.11698433282703 bluesy:143.00013616157912 talented:140.50585683031568 funk:140.17094548234178 blues:138.38200666369372 artists:137.4061722654952 dance:137.13751104208768 falsetto:136.46037306667662 soulful:132.47811656233864 groove:132.36706857805567 sounding:132.02785937551428 recording:128.35106752776366 indie:123.9243609887428 pretenders:122.76561249892323 songstress:122.76561249892323 withers:122.76561249892323 krall:122.76561249892323 bleeps:122.76561249892323 pharrell:122.76561249892323 yodeling:122.76561249892323 bands:119.58231745708349 listens:119.30168572972877 musicians:119.2938610012148 knopfler:116.12105775020281 lyrically:114.94374221027445 recorded:109.57942946007714 rapping:108.56443772440926 guitarist:107.97006172284877 record:107.19906468140022 bonnie:105.69655603812083 vocal:105.10037011478245 released:104.21658165483963 classic:104.15537955484183 chorus:103.96396290030798 foreboding:100.86924222284293
<Apps_for_Android> games:2732.8934506519217 play:1739.5117975781254 graphics:1434.199056610126 kindle:1286.6224616136074 addictive:1268.8961034282313 challenging:990.6876312264446 coins:980.2582406040023 addicting:967.8211904560861 fire:881.2924059683155 levels:783.2567419405734 ads:630.82111514441 playing:621.292955788816 puzzles:585.1030001346993 apps:532.2913868325926 free:431.2242542266338 bingo:405.61063037862806 mahjong:320.357678079211 download:293.15272464143004 faotd:287.7290985994183 facebook:278.3860652525778 downloaded:255.93660762383115 hints:238.70497663787958 solitaire:210.70464017636345 android:207.71712972474194 gameplay:197.5383406176283 puzzle:195.29075960150587 freezes:188.29732546285132 unlock:184.21328194157365 bought:177.73656142192735 deleted:177.07178696804974 flappy:172.8989391732214 played:169.1174075695292 upgrades:167.91428960087546 price:151.70611413447241 tablet:150.03954320792133 calculator:147.83320032942808 developer:147.3326182912435 quality:145.70615748378557 permissions:136.983444424995 awesome:136.82822160493407 author:135.3959528064669 earn:133.57337356952092 bored:128.35098008046452 uninstall:126.75433204164699 sudoku:126.69454449754188 fit:126.42907937435396 years:126.26851302375886 made:124.76448409057458 reading:123.96306258434849 good:122.7379251338681 great:121.12097716745505 characters:119.02664402555726 series:115.35599958471975 gameloft:115.35331738658711 written:114.88646117755921 addicted:108.52073036229649 crashes:106.62598549528785 back:104.71926080582647 brain:104.59403402601147 multiplayer:102.21670872025936 uninstalling:100.12006072043424 sims:100.10900201772833 challenge:99.77094306036813 tetris:98.99955423792359 glitches:98.54294010871662 end:96.33606775246416 put:95.84395200608502 waster:93.94878629583381 size:93.68471484317347 crashing:93.17791119734929 downloading:92.65787925962097 minecraft:87.96200681918074 logos:87.96200681918074 feel:86.94232690311475 zynga:86.54778447745657
<Toys_and_Game> toys:1339.7737347848358 lego:1195.8125745727345 loves:1032.5511502903735 son:998.9484276577397 dolls:918.0028219544379 grandson:907.9257754590278 birthday:776.8554135962603 play:706.1366790231002 kids:694.5142050551221 christmas:654.841142708964 legos:572.4791662966143 daughter:567.8904644595842 puzzle:548.3408819932696 year:517.0480206602927 pieces:480.40115016345135 rc:420.9297350990516 playing:405.0481105002488 cards:389.3266983234274 granddaughter:357.4193923422342 cute:319.8602105408033 barbie:314.952570970695 hasbro:304.67802152370814 nephew:259.82999206749656 gift:255.06894861316215 nerf:248.97386270637986 child:233.09974261320284 articulation:226.22336835453385 durable:220.97249532386132 figures:220.14423438506003 played:219.8039646361386 helicopters:218.910148865267 cuddly:216.164097024944 dice:215.40594773283405 leapfrog:213.57273947807062 mattel:203.38865471934454 niece:191.6947995925208 educational:191.37113751045882 stuffed:190.43565535247265 paint:188.81538468815913 plush:182.2196321907278 cube:181.38940605903585 playset:172.6251213976071 lipo:169.56567113966807 copter:169.56567113966807 heli:169.56567113966807 grandsons:163.4041765626299 doug:163.4041765626299 puzzles:161.13413883564417 grand:160.61190550803357 games:160.16417785106592 melissa:157.03472825669786 yr:150.55268390630408 plays:149.13188419243207 transformers:143.487324661992 board:140.8300994462385 dollhouse:139.64464030308952 posable:135.71269059953872 plastic:129.92249766261708 granddaughters:129.65732425196185 decks:129.58853333952626 kid:128.53121539416776 train:126.75039508794693 cars:120.97591092764648 collectible:119.18630448411142 darts:119.18630448411142 figure:118.53790843912925 sculpt:118.28086548344415 reading:117.9843809822835 adorable:117.9842665589288 wheels:116.5926085400012 wooden:110.24424537083055 huggable:106.97732384120934 doh:106.97732384120934 good:106.53692261020579 toddler:104.0019941739954
<Grocery_and_Gourmet_Food> flavors:1999.5018784143756 snack:1973.495740562006 tasting:1673.5076667618155 delicious:1623.3943084327814 tea:1560.184828580083 tastes:1557.4938643723217 chocolate:1516.7636473909258 flavored:1383.3407132965717 sugar:1282.0431832876143 tasted:1022.9768958743272 teas:927.7830007024244 organic:897.8989282879409 drink:883.3276107263368 coffees:861.8812031962215 sauce:834.2438782785006 salty:822.5930433833378 butter:775.810078887115 gluten:766.0368362747853 tasty:730.6450941518445 flavorful:698.0152640996469 sweetener:676.9353043701774 spicy:669.5307786595058 peanut:669.2533249379824 candies:657.3725828709526 cocoa:655.885850577459 milk:654.196376965453 coconut:647.3859625019513 salt:644.9203588977542 keurig:640.4745964127892 cereal:624.9423814351676 creamy:623.7748842928438 corn:620.7090809144441 seasoning:595.8056228477014 aroma:590.531078251333 cinnamon:582.1604871603131 crunchy:582.1604871603131 bitter:572.8499833263729 almonds:563.8369019730882 cookies:563.084163078383 eat:558.9051959702517 sodium:545.1424631415277 texture:543.5861527594674 grocery:524.9960106311828 chewy:519.9803223800758 crackers:516.7964388204076 cup:505.2080722914231 yummy:500.0883433879988 rice:495.3571974838987 oatmeal:484.0568250385764 starbucks:456.6194214304079 drinker:451.47568539093646 aftertaste:444.19824824909966 breakfast:444.0722920094953 calories:437.0473754230329 cups:407.86413142122694 candy:401.99466592129033 cereals:396.24695953173 decaf:396.24695953173 fruit:395.3776232277327 healthy:389.99958591033266 caramel:388.85496209980965 flour:380.3923683785721 hazelnut:377.0488941421713 sweetened:377.0488941421713 roast:369.0675707840077 chocolates:368.3185135358847 iced:357.1539955734411 tazo:357.0156620374731 granola:348.8210941441537 syrup:341.8330054884184 flavoring:341.32897505240396 stevia:340.78638487422865 pack:334.9418388794824 vanilla:331.37549375681016 caffeine:322.8120629606731
<Beauty> lotion:2229.0359930869863 scent:2175.307604975357 shampoo:2144.9491660864132 smells:2035.0668042294094 conditioner:1733.7494047964667 fragrance:1307.8042497029946 dry:1307.6449880929931 oily:1275.4902128983547 smell:1261.3627839772657 perfume:1231.2866392945505 moisturizer:1165.1265065466996 curly:1127.3059914564112 acne:1005.6005289297074 greasy:990.6524483185937 curls:925.3738449554713 makeup:890.482490912013 polish:874.603987315705 lashes:837.7673881998932 frizzy:827.5650191415846 mascara:827.5650191415846 salon:827.1770894280835 brush:798.5768356748202 tanning:753.7688920088883 frizz:751.3302911006982 cleanser:701.0762450634618 serum:701.0762450634618 moisturizing:675.3331126157613 scalp:651.307927636038 cologne:639.8629185759816 cream:635.5376955304095 bottle:624.7869768796513 products:619.9129179448512 nail:607.8308502316536 curl:562.8065280376308 lipstick:535.9442701886383 shiny:530.196277734303 dryer:524.14505507092 perfumes:486.9134277545864 nails:476.79540301325835 shampoos:475.7978685631901 face:468.633262386766 gel:466.6862833488304 complexion:466.11455137161073 pores:466.11455137161073 comb:464.46424624528385 fragrances:453.53041281464033 spf:453.53041281464033 opi:452.9082574666243 brushes:433.51392550202314 redness:424.460290664665 drying:422.2362275862455 straightener:415.37015453597303 curling:395.56532727494726 wavy:395.2892422771661 moisturized:368.9440250258457 eyelashes:368.9440250258457 oil:368.43650845741917 hydrating:341.6384175890014 eyeliner:340.1830320117901 concealer:340.1830320117901 silky:330.6477018249098 lotions:325.8463315423846 breakouts:321.6765935571677 soap:321.47240555641883 natural:317.7494075892508 moisturizers:304.3710311142709 eyeshadow:302.53390319648724 scents:285.6133095235914 bristles:284.6308783180726 tan:282.7975985964078 sunscreen:277.29684780800306 smooth:277.23414441993646 wash:272.00348156389987 olay:267.14739488374494 eau:267.14739488374494
<Health_and_Personal_Care> shaver:1248.8655632061846 razor:1099.0725506345348 shaving:1078.8270824478373 pills:997.1677758035762 protein:823.2733208720688 supplements:776.7355668597347 vitamin:745.2808443807395 pill:664.9309913796773 vitamins:643.0230077328572 capsules:619.6138640823076 supplement:567.029330718605 trimmer:524.461707584453 deodorant:498.9350995982211 taking:436.6343771906514 stomach:416.4331793264784 toothbrush:413.49960025314374 gillette:405.98751714931257 norelco:404.7839606011433 sonicare:404.7839606011433 razors:372.3043870847288 garcinia:354.42275842932787 bottle:336.3543303477533 smell:315.3779487741035 appetite:312.0492567448622 brace:304.10276359375956 powder:303.63952239315347 muscle:290.1227734954521 shaves:286.96735430600495 ketones:278.75456802082374 dentist:271.90468988474333 sinus:257.1551471766047 dosage:257.1551471766047 cambogia:253.49806706158756 energy:251.82692003871242 sore:233.71273099265508 tastes:232.3665593669909 oil:231.38809075270888 shavers:228.6408636706898 beard:228.49693145346046 mg:228.49693145346046 creatine:228.22465246538903 braun:226.16445475867454 hairs:220.45725399198102 products:218.52643057749592 pain:216.34464939922194 teeth:213.98594928638067 relief:209.94829889234174 jittery:207.59546115701423 whey:207.59546115701423 calcium:205.0044659578945 irritation:202.6602953225866 scent:193.99522869451843 doctor:193.62650604086753 diet:191.16039521806013 results:187.98217331285534 brush:187.928816207332 stains:187.29742489260744 oral:186.38427788645745 rash:185.5199922007657 blades:180.73927157010527 stubble:178.61473983595127 swelling:175.40903397022035 cravings:175.1328319821431 odor:175.08110527441423 oils:174.24896865598487 swallow:163.71838420765985 lather:161.91509648201736 massage:159.73388466044034 vibrator:159.16693156813255 weeks:157.15818134380325 scale:156.10123154007852 smells:155.9751411931077 batteries:154.61452573198216 author:154.02176881759715 condoms:153.68035888267926
<Book> author:4937.31308704696 reading:4564.271645058386 characters:3757.3455285423524 written:3541.7078493823515 reader:2516.7798239246004 series:2304.9636753711525 writing:2128.8071808538252 interesting:2034.644123050987 pages:1943.8203552356772 stories:1841.9865638363694 world:1809.5114768882986 enjoyed:1778.6944023646702 character:1701.0478962514946 page:1631.0861603086305 history:1630.3152400189824 information:1564.03387330472 readers:1424.164305939585 chapter:1378.281354696795 price:1371.6775827167319 quality:1339.1126522857126 authors:1248.3392903243732 plot:1234.5224807006718 chapters:1070.0696440357767 romance:1046.949330290696 fit:1042.04720768518 understand:1013.371068466231 mystery:997.3020680208664 writer:985.4160636614808 novels:982.1885074328404 lives:978.9654464497906 bought:935.2756459273779 great:894.5596796145284 people:885.7334965295648 ideas:861.5900909072844 fiction:859.5046497526836 god:859.4246912820781 ending:855.13194253016 learn:848.9037024266136 human:837.2158979387594 relationship:834.3067790512008 understanding:831.1726995640537 works:815.233913773227 subject:813.4575702675339 man:810.562084947655 size:792.6892230315875 war:788.4426852287565 writes:755.3098010391365 historical:749.1887825053163 interested:745.783376831594 end:745.4906409882227 finished:742.7390404870031 loved:741.5056942325986 examples:722.1071684793973 sense:714.4526188058059 young:713.2820867678272 questions:712.0151605536295 knowledge:709.9004700392741 published:703.2962241636584 text:702.7434249414104 recipes:701.2485402030079 events:697.1517740693165 interest:688.6751542720049 illustrations:684.8132346599002 journey:668.6390665251786 study:668.3308787959824 reference:658.3986378367359 buy:654.8558047981073 family:653.6122321080571 guide:648.057820190604 insight:647.5346931278896 fascinating:644.7807227844656 children:639.7849220715473 copy:624.613386865827 personal:622.0794161348999 heart:618.8552266068755
<Automotive> oem:1025.1886684299975 honda:1012.2264738219556 engine:739.8740549712869 headlights:654.0820437685102 vehicle:645.0094136805468 exhaust:618.0905084208197 jeep:603.3604922915438 tire:533.7537391684665 installed:517.6445845348969 headlight:517.1415987288067 toyota:464.6975161020762 dealer:404.9317600818539 factory:402.1675125544245 dealership:394.0716245522174 muffler:392.60256759421145 wiper:373.56049827223234 ford:373.3856287938146 nissan:367.4584626994781 mats:364.5470578571688 wipers:341.7836564897492 dodge:323.329320493054 bumper:295.99933220669357 fuel:289.7504075688767 chevy:282.88431930333036 windshield:281.0969880584657 acura:280.83724743946306 acdelco:280.83724743946306 crv:280.83724743946306 gasket:275.72833272312636 camry:270.64777490940173 gmc:270.64777490940173 installation:269.11979593884655 fit:258.86968669383117 civic:258.5368307899085 subaru:244.7849972908852 helmet:243.9070927095739 kia:232.37018280194263 cab:229.40627354323698 cars:228.3095878318112 delco:224.83288904478283 altima:224.83288904478283 meguiar:224.83288904478283 detailer:224.83288904478283 hitch:215.80880882148222 trailer:207.73134424872268 wheel:200.20551122023758 atv:197.75590240110094 gaskets:197.75590240110094 tranny:197.75590240110094 passenger:195.72920427122392 decal:194.91496990922198 motorcycle:189.36742432344994 lights:179.9855996370939 trucks:178.59834963164747 torque:178.59834963164747 silverado:178.27205022087253 integra:178.27205022087253 buick:178.27205022087253 alternator:178.27205022087253 taillight:178.27205022087253 resistor:178.27205022087253 coupe:171.79961231641448 sealant:171.79961231641448 filter:170.04545988985504 kensun:168.74716276167575 weathertech:168.74716276167575 dorman:168.74716276167575 ballasts:168.74716276167575 visors:168.74716276167575 mpg:168.74716276167575 arnley:168.74716276167575 trunk:168.02314661036408 steering:161.72600766829993 mirror:157.44503120590488 vehicles:155.48951957563125
<Kindle_Store> author:809.3624454660307 characters:705.4591872091752 series:510.17129430931686 romance:466.51637302247497 reading:429.86359227096455 kindle:413.92079510455847 short:382.8714098131285 enjoyed:381.3505423774953 stories:378.96907082462917 novella:363.1899353209944 ebook:270.349596559478 written:261.5793472163779 wait:253.7681189034616 plot:217.65798817677353 forward:212.82344492995168 character:192.45424351645684 sex:185.27341090364928 steamy:175.0735694736979 bought:170.6001454855402 writing:166.98995950898922 errors:165.48067790947627 erotic:160.77140257915937 quality:159.19753278946303 loved:158.19573110234506 price:147.26405250035864 relationship:142.26192757421103 ending:138.56112984515636 sexy:122.40121881176965 fit:119.14482433075587 developed:118.95237172709817 alpha:114.37537937340166 heroine:111.52654299238736 wanting:109.47144209054878 believable:109.45954498808402 works:109.01149197446226 finds:107.26749212198382 reader:105.96236778408323 erotica:105.09795307577481 buy:105.03149715566121 interesting:104.1958839697477 mystery:103.20938961102615 sweet:103.15232961280586 honest:100.05704967531857 woman:96.6449161900251 fiction:95.60493185262254 size:95.47521531919674 music:93.61280483400884 tale:92.62549503634033 authors:90.85902802348832 great:89.45347051434243 twist:84.26833804757412 chemistry:83.59736169614283 paranormal:82.55523334055471 felt:82.04343494583834 hea:81.79040838508594 shifter:81.60956154955012 storyline:80.9596456443195 cliffhanger:78.12080654707091 feelings:78.07255781776885 editing:75.57321787680203 ordered:75.26589717505293 reads:74.5343737528791 ms:74.213714925639 nage:73.82108476687833 devlin:73.82108476687833 scenes:73.62818476796089 suspense:73.32843125306646 intriguing:72.31893831153506 sound:72.22627371026817 adventure:71.7483134347838 paced:71.73210889062885 powerfast:70.72058418561087 berserker:70.72058418561087 intrigue:70.63790619073498 end:68.6863909258631
<CDs_and_Vinyl> music:9078.090820789852 albums:5985.046920493599 tracks:5747.676410431559 lyrics:5276.711530692496 listen:4790.809535600982 vocals:4403.531696167818 rock:4220.5874951251435 band:4178.414224467892 track:3995.151877431425 listening:3228.278441983266 heard:2992.702279318424 recording:2696.11397249423 voice:2354.241039889025 sound:2291.615912469648 singing:2175.0002922715994 record:2169.224761481626 musical:2139.1676579175373 quot:2096.647490888823 cds:2046.1081925182384 recordings:2036.52591844604 vocal:2011.7854619280556 jazz:1961.3611610647822 recorded:1955.1838641184786 sounds:1943.4177912322198 singer:1938.0584698937485 disc:1897.2111893157935 tunes:1858.9686141485274 solo:1687.8582841207885 sing:1668.3329588136182 hear:1649.0120077625234 bands:1645.4516254693062 blues:1638.4663852448484 catchy:1598.3281238635634 listened:1577.8817770879962 melodies:1539.4249070304268 hits:1494.944092112739 concert:1470.221189501805 pop:1368.352967632422 acoustic:1324.4759126124045 instrumental:1318.4500448709043 melodic:1278.62918949461 fan:1263.4948164504858 artists:1260.3452445375867 release:1251.486714222307 musicians:1146.005098086513 sings:1129.388342281965 listener:1127.261305973114 piano:1100.1767557362932 chorus:1089.683325137795 musically:1082.4621821239934 punk:1073.9237479289493 released:1063.027053045994 fans:1059.836610899012 arrangements:1055.4590422339074 records:1037.5787359845456 ballads:1034.7322014201181 instruments:1005.0186738105165 drums:996.1112153001778 orchestra:994.9581376311353 compilation:985.6287655997127 melody:984.5729443982189 collection:972.5988057946428 songwriting:958.7265838066827 singers:957.0242976678637 ballad:953.9500969482918 production:918.6678311042418 classic:904.7827635468777 guitars:901.3068756032231 riffs:893.0206199075549 bass:890.759479225524 musicianship:871.6309601807218 soundtrack:866.8526737653137 dance:862.749344161879 live:824.191182810967 rap:801.5050141494416
